record,task,model,window,n,rmse,r2,difference_rmse,sse,sst
VisualCogB_Task-1,1,task_gain,late_600_800,85,202.25453119070096,-0.01825679571782679,54.576774063744544,542425432.8338773,532700037.0780643
VisualCogB_Task-2,2,common,primary_0_500,79,140.91754561888055,-0.0038629675672294805,38.31794927346856,607111133.3195201,604774907.4665028
VisualCogB_Task-2,2,common,full_0_800,79,201.02132561459038,-0.05117637717181189,63.084978001980794,1972876190.1838825,1876826984.5369835
VisualCogB_Task-2,2,common,late_600_800,79,289.21860565165736,-0.17960802731904013,99.65746797798019,1030870580.4621155,873909431.4278547
VisualCogB_Task-2,2,erp,primary_0_500,79,140.7055615898101,-0.0008449919912407733,30.174200723906328,605285937.4198154,604774907.4665028
VisualCogB_Task-2,2,erp,full_0_800,79,191.5764603700705,0.045280886921766905,38.735348494796064,1791842594.0784435,1876826984.5369835
VisualCogB_Task-2,2,erp,late_600_800,79,266.18104169382747,0.0008297284605340849,55.10350681795377,873184323.9006698,873909431.4278547
VisualCogB_Task-2,2,equal_gain,primary_0_500,79,140.8680817623578,-0.0031583538327151217,36.47962368969562,606685000.6134295,604774907.4665028
VisualCogB_Task-2,2,equal_gain,full_0_800,79,200.99546475803427,-0.0509059325030492,62.26417882819209,1972368612.3317246,1876826984.5369835
VisualCogB_Task-2,2,equal_gain,late_600_800,79,289.2073724415698,-0.17951639747778092,99.61697011351053,1030790504.279639,873909431.4278547
VisualCogB_Task-2,2,task_gain,primary_0_500,79,140.74426071656274,-0.0013956049605499121,32.17759003422165,605618934.3273791,604774907.4665028
VisualCogB_Task-2,2,task_gain,full_0_800,79,201.18034051767094,-0.05284006952929343,60.84168358309572,1975998652.894372,1876826984.5369835
VisualCogB_Task-2,2,task_gain,late_600_800,79,290.101434109534,-0.18682043287455175,100.34813868712745,1037173569.70036,873909431.4278547
