image,r_left,r_right,phi_left,phi_right,lgn_total_abs,image_right_minus_left_sli
left,1.0000000000000002,0.12975027203036305,0.9946297621401269,0.005370237859873085,165.66211022592603,0.3304440406231895
right,0.12975027203036307,1.0000000000000007,0.00537023785987308,0.9946297621401269,165.66211022592606,-0.33044404062318955
left_shift_2px,0.9580568175144315,0.11619929576350055,0.9936387267357436,0.006361273264256477,165.66211022592609,0.3994761903181625
left_missing_tip,0.9274182338598209,0.13700395023066508,0.9913583771159097,0.00864162288409039,155.6437951200288,0.38248362608289427
