permutation,group,scope,task,ba
17,VisualCogA_Task-1,record,1,0.4584302325581395
17,VisualCogA_Task-2,record,2,0.44787644787644787
17,VisualCogB_Task-1,record,1,0.5545404208194906
17,VisualCogB_Task-2,record,2,0.5051480051480052
18,all,all,0,0.4891163092917479
18,task1,task,1,0.4464209780297661
18,task2,task,2,0.5322343244038859
18,VisualCogA_Task-1,record,1,0.4476744186046512
18,VisualCogA_Task-2,record,2,0.5562603419746277
18,VisualCogB_Task-1,record,1,0.4476744186046512
18,VisualCogB_Task-2,record,2,0.49002574002574006
19,all,all,0,0.5406107862248213
19,task1,task,1,0.5601700921332389
19,task2,task,2,0.519060936120106
19,VisualCogA_Task-1,record,1,0.5441860465116279
19,VisualCogA_Task-2,record,2,0.7051847766133481
19,VisualCogB_Task-1,record,1,0.575858250276855
19,VisualCogB_Task-2,record,2,0.31853281853281856
20,all,all,0,0.4987004548408057
20,task1,task,1,0.5241672572643515
20,task2,task,2,0.4720341477774507
20,VisualCogA_Task-1,record,1,0.5200581395348837
20,VisualCogA_Task-2,record,2,0.38306674020959736
20,VisualCogB_Task-1,record,1,0.5293466223698782
20,VisualCogB_Task-2,record,2,0.5727155727155727
21,all,all,0,0.5495451591942819
21,task1,task,1,0.5238837703756202
21,task2,task,2,0.5755078010008832
21,VisualCogA_Task-1,record,1,0.5174418604651163
21,VisualCogA_Task-2,record,2,0.6373414230557087
21,VisualCogB_Task-1,record,1,0.5290697674418605
21,VisualCogB_Task-2,record,2,0.5051480051480052
22,all,all,0,0.4522417153996101
22,task1,task,1,0.4580439404677534
22,task2,task,2,0.4456873712098911
22,VisualCogA_Task-1,record,1,0.4825581395348837
22,VisualCogA_Task-2,record,2,0.45808052950910094
22,VisualCogB_Task-1,record,1,0.436046511627907
22,VisualCogB_Task-2,record,2,0.416988416988417
23,all,all,0,0.4787199480181936
23,task1,task,1,0.45875265768958184
23,task2,task,2,0.49941124521636737
23,VisualCogA_Task-1,record,1,0.386046511627907
23,VisualCogA_Task-2,record,2,0.4980694980694981
23,VisualCogB_Task-1,record,1,0.5287929125138427
23,VisualCogB_Task-2,record,2,0.5035392535392536
24,all,all,0,0.5047108512020793
24,task1,task,1,0.43997165131112687
24,task2,task,2,0.5722696496909038
24,VisualCogA_Task-1,record,1,0.3843023255813953
24,VisualCogA_Task-2,record,2,0.61003861003861
24,VisualCogB_Task-1,record,1,0.4947397563676634
24,VisualCogB_Task-2,record,2,0.5257400257400258
25,all,all,0,0.47612085769980506
25,task1,task,1,0.47498228206945425
25,task2,task,2,0.4788784221371799
25,VisualCogA_Task-1,record,1,0.4790697674418605
25,VisualCogA_Task-2,record,2,0.4407060121345836
25,VisualCogB_Task-1,record,1,0.47203765227021044
25,VisualCogB_Task-2,record,2,0.5186615186615187
26,all,all,0,0.47384665367121503
26,task1,task,1,0.5119773210489015
26,task2,task,2,0.4340594642331469
26,VisualCogA_Task-1,record,1,0.46569767441860466
26,VisualCogA_Task-2,record,2,0.373138444567016
26,VisualCogB_Task-1,record,1,0.5514950166112956
26,VisualCogB_Task-2,record,2,0.49646074646074645
27,all,all,0,0.4498050682261209
27,task1,task,1,0.32721474131821404
27,task2,task,2,0.574477480129526
27,VisualCogA_Task-1,record,1,0.31366279069767444
27,VisualCogA_Task-2,record,2,0.528957528957529
27,VisualCogB_Task-1,record,1,0.3416389811738649
27,VisualCogB_Task-2,record,2,0.621943371943372
28,all,all,0,0.5024366471734893
28,task1,task,1,0.4929128277817151
28,task2,task,2,0.5127318221960553
28,VisualCogA_Task-1,record,1,0.5415697674418605
28,VisualCogA_Task-2,record,2,0.5661886376172091
28,VisualCogB_Task-1,record,1,0.4490586932447398
28,VisualCogB_Task-2,record,2,0.46074646074646075
29,all,all,0,0.4959389213775179
29,task1,task,1,0.566194188518781
29,task2,task,2,0.42294671769208125
29,VisualCogA_Task-1,record,1,0.5790697674418605
29,VisualCogA_Task-2,record,2,0.4103695532266961
29,VisualCogB_Task-1,record,1,0.5517718715393134
29,VisualCogB_Task-2,record,2,0.43050193050193053
30,all,all,0,0.5160818713450293
30,task1,task,1,0.5650602409638554
30,task2,task,2,0.46673535472475713
30,VisualCogA_Task-1,record,1,0.5816860465116279
30,VisualCogA_Task-2,record,2,0.5490899062327634
30,VisualCogB_Task-1,record,1,0.5548172757475083
30,VisualCogB_Task-2,record,2,0.37966537966537967
