record,task,model,window,rmse,r2,sse,sst
VisualCogA_Task-1,1,response,0_500,84.53260262151,-0.011233890829396076,229528986.0605377,226979127.32363242
VisualCogA_Task-1,1,response,0_800,111.83267259822173,-0.015733356651667973,641510804.4016893,631574025.0142112
VisualCogA_Task-1,1,common_only,0_500,84.73753716612045,-0.016142954436926482,230643241.03415117,226979127.32363242
VisualCogA_Task-1,1,common_only,0_800,112.02882292738039,-0.019299598148729613,643763149.8981612,631574025.0142112
VisualCogA_Task-1,1,train_erp,0_500,84.71883100538295,-0.015694368461651287,230541421.38095355,226979127.32363242
VisualCogA_Task-1,1,train_erp,0_800,111.72919690638136,-0.013854566051761275,640324209.0603473,631574025.0142112
VisualCogA_Task-2,2,response,0_500,113.88927770699551,0.020978503254241776,431693086.48510504,440943419.44486564
VisualCogA_Task-2,2,response,0_800,156.41022253643737,0.09156113340144123,1300221054.1782434,1431269733.1484983
VisualCogA_Task-2,2,common_only,0_500,114.24234298850627,0.014899014632845375,434373796.9862997,440943419.44486564
VisualCogA_Task-2,2,common_only,0_800,156.70709153738386,0.08810939898507342,1305161417.1752577,1431269733.1484983
VisualCogA_Task-2,2,train_erp,0_500,113.87820946895589,0.0211687848442913,431609183.0701312,440943419.44486564
VisualCogA_Task-2,2,train_erp,0_800,156.24767193296518,0.09344835728453815,1297519927.7546918,1431269733.1484983
VisualCogB_Task-1,1,response,0_500,100.11904300473469,-0.006246564910843855,329733650.0909898,327686733.6388921
VisualCogB_Task-1,1,response,0_800,140.56543467274255,0.0013877418041172707,1037921434.0414374,1039363802.6400473
VisualCogB_Task-1,1,common_only,0_500,100.1675104674389,-0.007221045313029695,330052974.39097726,327686733.6388921
VisualCogB_Task-1,1,common_only,0_800,140.73312105254243,-0.0009962519000663583,1040399270.8032876,1039363802.6400473
VisualCogB_Task-1,1,train_erp,0_500,100.12453597750094,-0.006356982198842731,329769832.37143147,327686733.6388921
VisualCogB_Task-1,1,train_erp,0_800,140.649153770266,0.00019786445372627082,1039158149.4890151,1039363802.6400473
VisualCogB_Task-2,2,response,0_500,140.6136075313694,0.0004627272700923335,604495061.6245505,604774907.4665028
VisualCogB_Task-2,2,response,0_800,191.12677057627724,0.04975767449219437,1783440438.3622255,1876826984.5369835
VisualCogB_Task-2,2,common_only,0_500,141.07724710468898,-0.0061396074417034985,608487987.9889396,604774907.4665028
VisualCogB_Task-2,2,common_only,0_800,192.59472434758746,0.03510490106805575,1810941158.9229553,1876826984.5369835
VisualCogB_Task-2,2,train_erp,0_500,140.7055615898101,-0.0008449919912407733,605285937.4198154,604774907.4665028
VisualCogB_Task-2,2,train_erp,0_800,191.5764603700705,0.045280886921766905,1791842594.0784435,1876826984.5369835
